City Name
St.No 1 Layyah
"Addo, District Muzaffargarh"
Rahim Yar Khan
North Nazimabad?Karachi Central
Jaranwala? District Faisalabad
"Melsi, District Wahari"
"Gambat, District Khairpur"
Rahim Yar Khan
Daharki? District Ghotki
District Mirpur Khas
"Sheikhupura, District Sheikhupura"
Gulshan Ravi?Block B?Lahore
"Raiwand, District Lahore"
Sector A-II Township?Lahore
"Shalimar, District Lahore"
"Sheikhupura, District Sheikhupura."
"Sarandi, District Faisalabad"
"Melsi, District Wahari"
"Cantt, District Lahore"
Dunyapur? District Lodhran
"Dunyapur, District Lodhran"
"Dunyapur, District Lodhran"
"Dipalpur, District Okara"
"Ward 310, Umarkot"
Cantt. District Lahore
"City, District Faisalabad"
"Sahiwal, District Sargodha"
"Dhamyal Road, Rawalpindi"
Cantt District Lahore
"Muslim Road, Gujranwala"
"Empress Park, Lahore"
"Dipalpur, District Okara"
"Jafar, Tehsil/District Islamabad"
"Askari Colony, Jhelum"
"Waraich, Tehsil/District Gujranwala"
"Cantt, District Lahore"
"Jahanian, District Khanewal"
Ali Colony? Rajanpur
"Abbas, District Bahawalnagar"
Watani? District Sahiwal
"City, District Faisalabad"
City? District Faisalabad
City? District Faisalabad
"Raiwan, District Lahore."
"Sadar, District Faisalabad"
Chishtian? District Bahawalnagar
"Bahawalpur, District Bahawalpur"
Sadar? District Faisalabad
"Cantt., District Lahore"
"Orphanage Bandarood, Lahore"
"Pakpattan, District Pakpattan"
Yazman? District Bahawalpur
"Alipur, District Muzaffargarh"
"Alipur, District Muzaffargarh"
"Mahalla Islamnagar, Bahawalpur"
"Faisalabad, Punjab, Pakistan"
Samundari ?District Faisalabad
"56,Phase 6 Lahore"
"Jampur, District Rajanpur"
"Ravi Road, Lahore"
"Sharif, Tehsil/District Sahiwal"
14 C Karachi
Dera Ghazi Khan
Road?Lahore Cantt?District Lahore
Gulshan Towm Gujrawala
"Chunian, District Kasur"
Khan District Bhakkar
"Sheikhupura, District Sheikhupura"
City? District Faisalabad
Manchanabad? District Bahawalnagar
"Khurd, District Okara"
Addo? District Muzaffargarh
"Jhamra, District Faisalabad"
"Hasilpur, District Bahawalpur"
"D-2, Karachi South"
"Nawali, Tehsil/District Muzaffargarh"
"Kharian, District Gujarat"
Pirwala? District Multan
"Korangi, Karachi East"
F/427?Choi West?Mohalla Aminabad?Attock
District Nankana Sahib
Sahiwal? District Sargodha
"Samandri, District Faisalabad"
"Cantt, District Lahore"
Bahawalpur? District Bahawalpur
"Office Thakurke, Gujranwala"
"No. 1, Multan"
Colony? Karachi South
Toba Tek Singh
"Lodhran, District Lodhran"
Office Khas?Sheikhupora?District Sheikhupora
Sargodha? District Sargodha
"Safdarabad, District Sheikhupura"
"Mohalla Nanakpura, Rawalpindi"
"Bhatian, District Hafizabad"
"Dipalpur, District Okara"
"Korangi, Tehsil Korangi\n"
"Cantt, District Lahore"
Tehsil/ District Hafizabad
"Bhatian, District Hafizabad"
"Chunian, District Kasur"
"Patuki, District Kasur"
"Sector G-12, Islamabad"
"Colony, Karachi East"
Area Qayumabad karachi
"G, Karachi Central"
District Karachi Malir
"14-A, Karachi Central"
"Landhi, Karachi East"
"Shahbaz Colony, Larkana"
Dera Ghazi Khan
District Nowshro Feroze
"Mohalla Pindi, Jhang"
Rahim Yar Khan
"Cantt, District Lahore"
House number 4?
"Peshawar, District Peshawar"
"Johar Town, Lahore"
"Chunian, District Kasur"
"Sandah Kalan, Lahore"
"Cantt, District Lahore"
"Cantt, District Lahore"
Johar Town?Block E?Lahore
Badami Bagh Lahore
Tehsil/ District Rawalpindi
Cantt. District Lahore
Cantt. District Lahore
"Johar Town, Lahore"
"Bakar Mandi, Lahore"
Office Khas?Pasor?District Sialkot
Tehsil/ District Jhang
"Jaglot, Tehsil/District Gilgit"
"Athmakam, District Neelam"
"Chakri Road, Rawalpindi"
"Jang, District Attock"
"Johi, District Dadu"
"Seven One, Islamabad"
"Jamia, Tehsil/District Haripur"
"Warkan, District Gujranwala"
Rahim Yar Khan
No 1?Mohalla Roshanabad?Muzaffargarh
"Shabqadar, District Charsadda"
Tehsil/ District Okara
Tehsil/ District Sahiwal
"Yazman, District Bahawalpur"
"Khurd, District Okara"
"Sargodha, District Sargodha"
Rahim Yar Khan
Shorkot? District Jhang
"Marine, District Faisalabad"
Tehsil/ District Multan
Dera Ghazi Khan
"Gulgasht Colony, Multan"
"Sandila, Tehsil/District Muzaffargarh"
"villas langrial, H.No."
Dera Ghazi Khan
No 29?Mohalla Rangpura?Gujarat
"Daska, District Sialkot"
"City, District Faisalabad"
"Gujrat, District Gujrat"
"Kamonki, District Gujranwala"
"Mohalla Rasoolpur, Lahore"
"Patuki, District Kasur"
"Office Khas, Lahore"
"Kangri, District Khairpur"
"Hasilpur, District Bahawalpur"
Chaltan Housing Scheme?Quetta
"Sargodha, District Sargodha"
Topi District Swabi
"Pattoki, District Kasur"
"Topi, District Swabi"
House number 1648?
"Mohalla Muslimabad, Mardan"
"Machankhel, Lucky Marwat"
District Karachi Malir
"Newtown, Karachi East"
"Rawalpindi, District Rawalpindi"
"Sadar, District Faisalabad"
Dera Ghazi Khan
"Block L, Lahore"
"Rangeilpur, Tehsil/District Multan"
"Borewala, District Wahari"
"Mansehra, District Mansehra"
"Nagar, District Nagar"
Tehsil/ District Abbottabad
"Parwana Road, Multan"
"Sadr, District Multan"
"Kharian, District Gujarat"
"Shah, District Karak"
Shah? District Karak
Area?Block 2?Karachi Central
"Lak, Tehsil/District Sargodha"
"Firozwala, District Sheikhupura"
Rahim Yar Khan
"Ashkoman, District Ghazur"
Khelan Bazar Kalan?Peshawar
"9, Karachi East"
01?Mohalla Fawax Colony?Badin
"Tangwani, District Kashmore"
"Mohalla Malhi, Umarkot"
Khaliq Colony? Larkana
Dera Ismail Khan
"Duniapur, District Lodhran"
"Cantt, District Lahore"
Cantt. District Lahore
"Kasur, District Kasur"
Chishtian? District Bahawalnagar
"Mahalla Khas, Lahore"
Road Data Darbar?Lahore
"Sanda Road, Lahore"
"Cantt, District Lahore"
Rahim Yar Khan
Tehsil/ District Leh
"Watani, District Sahiwal"
"Firozwala, District Sheikhupora"
District Nowshro Feroze
3-A-II Township? Lahore
Sadar District Multan
Colony Shahdra Lahore
"Six One, Islamabad"
tehsil aliabad hunza
"Cantt, District Lahore"
"Mansehra, District Mansehra"
"Khan, District Jhelum."
House number 37?
"Shah, District Karak"
"No. 1, Okara"
"Yazman, District Bahawalpur"
Rahim YAr Khan
"Layyah, Punjab, Pakistan"
"Latkran, Tehsil/District Muzaffargarh"
"Mohalla Sharifpura, Leh"
Muzaffargarh? District Muzaffargarh
Dera Ghazi Khan
"Mohalla Haiderpura, Multan"
Mandanar? District Buner
"Dunyapur, District Lodhran"
Duniapur? District Lodhran
"Dunyapur, District Lodhran"
"Pakka, District Lodhran"
"Watani, District Sahiwal"
Rahim Yar Khan
"Bazar Road, Sahiwal"
Rahim Yar Khan
Paper Bazaar?Karachi South
"Okara, District Okara"
Tolay Khan Multan
"Mohalla Ghousabad, Multan"
"Harunabad, District Bahawalnagar"
Chak Ghamnana Tehsil/Dist.Jhang
Gujranwala? District Gujranwala
"Jaranwala, District Faisalabad"
"Jaranwala, District Faisalabad"
Toba Tek Singh
"Block W, Bahawalnagar"
Dera Ghazi Khan
/ District Sialkot
"Mahalla Faizabad, Gujarat"
Rahim Yar Khan
Parnigal Road Naulkha?Lahore
"Nusrati, District Kirk"
Khawajgan?Tehsil Abbaspur?District Poonch
"Block 6, Bahawalpur"
"11-B, Karachi Central"
"Thirteen Two, Islamabad"
"Sector G-10/3, Islamabad"
"Bahrain, District Swat"
"16A, Karachi Central"
"Jahangira, District Nowshera"
House number 20?
Sheikhupura? District Sheikhupura
"Mohalla Akhappora, Multan"
"Sahiwal, District Sahiwal"
""
"11-E, Central Karachi"
"Sheikhupura, District Sheikhupura"
"Mor Aymanabad, Gujranwala"
Suhawah? District Jhelum
Tehsil/ District Abbottabad
Deepalpur? District Okara
Toba Tek Singh
Kham Durang? Muzaffarabad
Alipur? District Muzaffargarh
Rahim Yar Khan
"Dunyapur, District Lodhran"
"Block O, Islamabad"
Tehsil/ District Gilgit
Jhang District Jhang
Sheikhupura? District Sheikhupura
District Karachi Malir
Dera Ghazi Khan
"7-D-1, Karachi Central"
"Misri Shah, Lahore"
"Block C, Rawalpindi"
"Kamonki, District Gujranwala"
"15-B, Karachi Central"
"Korangi, Tehsil Korangi,Karachi"
Nazimabad?Block Q?Karachi Central
District Karachi Malir
Latifabad? District Hyderabad
District Shahdad Kot
Toba Tek Singh
Daji? District Khairpur.
Kotri? District Jamshoro
""
Silwanali? District Sargodha
"Kishan, District Kasur"
Multan Chungi Lahore
"Cantt, District Lahore"
"Dunyapur, District Lodhran"
Khawajah Saeed Lahore
"Mathilo, District Ghotki"
Saadiran? District Faisalabad
Dera Ghazi Khan
Sabzi Mandi? Ghotki
Dera Ghazi Khan
muhallah dhelay mardan
"Dipalpur, District Okara"
Watani? District Sahiwal
Tehsil/ District Rawalpindi
"Satellite Town, Rawalpindi"
"Sector F-7/1, Islamabad"
"F 6/4, Islamabad"
"Shahdadpur, District Sanghar"
"Hafizabad, Punjab, Pakistan"
United Arab Emirates
adyala road Rawalpindi
Post Office Special?Islamabad
Khela? District Malakand
Tehsil/ District Bahawalnagar
"Patuki, District Kasur"
136-b?Hashmi Garden Estate?Bahawalpur
Tehsil/ District Kasur
"Kasur, District Kasur"
"Kabirwala, District Khaniwal"
House number 7?
Addu District Muzaffargarh
Sadar Zilla Multan.
"Cantt., District Lahore"
"Cantt, District Lahore"
Dera Ghazi Khan
wazirabad zila gujranwala
Kabirwala? District Khanewal
"Alipur, District Muzaffargarh"
"Addu, District Muzaffargarh"
"Sialkot, District Sialkot"
"Sadar, District Multan"
Block 15? Khanewal
Dera Ghazi Khan
"19, Karachi East"
Dera Ghazi Khan
Toba Tek Singh
"Lahore, District Lahore"
"Kamonki, District Gujranwala"
"Jhang, District Jhang"
Colony?Malir?District Karachi Malir
zil a Bhawalpur
"Phase 1, Quetta"
"Phikrato, Tehsil/District Ghotki"
"Kamonki, District Gujranwala"
Bhai? District Mardan
"Shah, District Karak"
"Jang, District Attock"
"Mahalla Faridabad, Multan"
"Cantt, District Lahore"
"Cantt, Lahore District"
"Saret Hussainabad, Bahawalnagar"
District Dera Bugti
"Sadar, District Multan"
District Karachi Malir
Office Khas?Rishkai?Tehsil/Zala Nowshera
"Shadman Town, Sahiwal"
Islam Colony? Pakpattan
"Block Y, Jhang"
"Punjab , Pakistan"
Manchanabad? District Bahawalnagar
House number 20?
"Area, Karachi South"
"21, Karachi Central"
"14B, Karachi Central"
"44-C, Karachi East"
"13, Karachi East"
"Latifabad, District Hyderabad"
"Mohalla Gharibabad, Dadu"
"Mathilo, District Ghotki."
"Mohalla Anurabad, Ghotki"
"Latifabad, District Hyderabad"
"Cantt., District Lahore"
Chah Mira Lahore....
Sadar? District Faisalabad
"Yazman, District Bahawalpur"
"Chachar, Tehsil/District Larkana"
Ward No.14?Nankana Sahib
"Dunyapur, District Lodhran"
"Cantt, District Lahore"
Road?Lahore Cantt?District Lahore
"Block B, Lahore"
Borivala District Wahari
Sheikhupora District Sheikhupura
"Bahawalpur, District Bahawalpur"
"Mohalla Fatehgarh, Sialkot"
janglat road rwlpindi
"Sector G-9/2, Islamabad"
"Kola Centre, Rawalpindi"
"Dharyal, Tehsil/District Mansehra"
"Shah, District Karak"
"Chhatri Chowk, Rawalpindi"
Tehsil/ District Islamabad
Muslim Town? Rawalpindi
Tehsil/ District Peshawar
"Cantt, District Lahore"
"Dipalpur, District Okara"
"Lahore, District Lahore"
"Road Supply, Abbottabad"
Havelian? District Abbottabad
"Colony, Supply, Abbottabad"
Faridabad Colony? Muzaffargarh
Shoora Mandi? Lodhran
"Firozwala, District Sheikhupura"
Rahim Yar Khan
District Karachi Malir
East District Bahawalpur
"Hasilpur, District Bahawalpur"
Road?Mohalla Civil Line?Sargodha
Sadar? District Faisalabad
"City, District Faisalabad"
Tehsil/ District Mianwali
"Aqeel Colony, Sahiwal"
"Silanwali, District Sargodha"
City? District Faisalabad
Mohalla Murtazaabad? Wahari
"Sargodha, District Sargodha"
Dunyapur? District Lodhran
Rahim Yar Khan
Toba Tek Singh
o District Sarghoda
"Sheikhupura, District Sheikhupura"
"City, District Faisalabad"
Tehsil/ District Jhang
"Gulabad Colony, Peshawar"
Zarina Khatan? Khuzdar
and District? Narowal
Peshawar District Peshawar
"City, District Faisalabad"
Multan Road? Bahawalpur
"Sadr, District Multan"
"Gulshan Ravi, Lahore"
Tehsil/ District Nowshera
Ghazali Garhi? Peshawar
"Sector 1, Peshawar"
Sakro Distt Thatta
Dera Ismail Khan
"Shah, District Karak"
"Mohalla Saduzai, Peshawar"
Dera Ismail Khan
No. 2? Charsadda
New Shamsabad Colony?Multan
"10, Karachi Central"
"13, Karachi West"
"1-1/2, Karachi East"
"Safdarabad, District Sheikhupora"
"Johi, District Dadu"
"City, District Faisalabad"
"Johi, District Dadu"
Tehsil/District Karachi South
"Mohalla Jeevandas, Mardan"
"Diska, District Sialkot"
House number 2?
and Zillah Islamabaad
A5 Al Madinah
"Nicha, Tehsil/District Hafizabad"
"1, Karachi East"
"Road, Karachi South"
"Latifabad, District Hyderabad"
"JB, Tehsil/Dist. Jhang"
"Fateh Colony, Narowal"
Toba Tek Singh
"Sargodha, District Sargodha"
Khas?Jaba?Tehsil Khushab?District Khushab
Okara? District Okara
"No. 2, Multan"
Raiwand? District Lahore
"Cantt, District Lahore"
"Nawa Village, Quetta"
Ferozewala? District Sheikhupura
"Silanwali, District Sargodha"
Bhatai Bazar? Jacobabad
"New Campus, Lahore"
"Badr Sher, Bahawalpur"
"Chanu, District Khanewal"
"Cantt., District Lahore"
District South Waziristan
"Shah, District Karak"
Alam Town? Abbottabad
"H 13, Islamabad"
Khas Chatta Bakhtawar?Islamabad
"Sector F-8/3, Islamabad"
Lalian? District Chiniot
"Mohalla Awan, Nowshera"
"Patuki, District Kasur"
"Watani, District Sahiwal"
"Rohri, District Sukkur"
"Sadar, District Multan"
Singh?Tehsil Patuki?District Kasur
"Kasur, District Kasur"
"City, District Lahore"
"Cantt, District Lahore"
"Chunian, District Kasur"
"no 1, H.No."
"City, District Faisalabad"
"Sahlan, Tehsil/District Bahawalpur"
Dera Ghazi Khan
Rahim Yar Khan
Dera Ghazi Khan
"Tehsil, Gujrat District"
"Patuki, District Kasur"
2?Dera Ghazi Khan
Karachi?Sector 11-F?Karachi Central
Taxila? District Rawalpindi
"Mehr Park, Gujranwala"
arif wala Pakpattan
"Raiwand, District Lahore"
"Cantt., District Lahore"
"Cantt, District Lahore"
"City, District Lahore"
"Cantt, District Lahore"
"Mohalla Islampura, Gujranwala"
"Iqbal Town, Lahore"
"Sadar, District Faisalabad"
"Pakka, Tehsil/District Mianwali"
"City, District Faisalabad"
"Silwanali, District Sargodha"
"Saadi, District Faisalabad"
District Karachi Malir
"Court Road, Sukkur"
"Dinah, District Jhelum"
"Begum Kot, Lahore"
Dera Ghazi Khan
"Dunyapur, District Lodhran"
Rahim Yar Khan
"Dipalpur, District Okara"
"2, Karachi Central"
"Shah, District Karak"
Sakhi Chashma? Peshawar
"Jan Colony, Peshawar"
"Three One, Islamabad"
"Shah, District Karak"
Shah? District Karak
U Sufabad? Peshawar
"Malino Clay, Nowshera"
Highway Abpara?Block A?Islamabad
New Town?Karachi East
Toba Tek Singh
"Block W, Jhang"
"Sadar, District Multan"
"NILKOT, TEHSIL/DISTRICT MULTAN"
"Islamabad, District Islamabad"
K 4 Peshawar
Rahim Yar Khan
"Johi, District Dadu"
"Jhang, District Jhang"
"Miana, Tehsil/District Peshawar"
"Orangi Town, Karachi"
"10, Karachi West"
"Kot, Tehsil Shuntar\n"
District Nowshro Feroze.
"Kharian, District Gujarat"
"7, Karachi Central"
"Johi, District Dadu"
"Bannu, District Bannu"
"Pattoki, District Kasur"
"Cantt, District Lahore"
"Mohalla Rehmatpura, Gujranwala"
Tehsil/ District Gujrat
City? District Faisalabad
Hameed Plaza?Sector 2?Rawalpindi
"Cantt, District Lahore"
Borivala? District Vihari
"Chinnu, District Khanewal"
"Jampur, District Rajanpur"
"City, District Faisalabad"
"Adiala Road, Rawalpindi"
Mohalla Usmanpura? Narowal
"Kahra, District Chakwal"
"Basti Aymanabad, Jhang"
Abdal? District Attock
Bhatian? District Hafizabad
"Shehzad Nagar, Bahawalnagar"
"Havelian, District Abbottabad"
"Sarandi, District Faisalabad"
"Chakwal, District Chakwal"
"Patuki, District Kasur"
"Mohalla Munirabad, Multan"
"Watani, District Sahiwal"
"Chounian, District Kasur"
"Tarar, Tehsil/District Hafizabad"
"Chah Mandirwala, Pakpattan"
"Sukkur, District Sukkur"
"City, District Faisalabad"
Multan Road Lahore
Muzaffargarh? District Muzaffargarh
"Azam, Tehsil/District Leh"
"Zafar Colony, Muzaffargarh"
"Wahin, Tehsil/District Muzaffargarh"
"8, Karachi Central"
"Khurd, District Okara"
Jaranwala? District Faisalabad
"Bhawana, District Chiniot"
"Railway Colony, Lahore"
"Aqil, District Sukkur"
"Hafizabad, District Hafizabad"
"City, District Faisalabad"
"Mohalla Mubarakpura, Bahawalpur"
"Gohar Shah, Jhang"
"Pusheen, District Pusheen"
"Marin, District Faisalabad"
J BLOCK LAHORE
"Shah, District Karak"
"Sheikhupura, District Sheikhupura"
Deer Colony? Peshawar
"Manila , Philippines"
"Raiwand, District Lahore"
"Tamiwali, District Bahawalpur"
Lahore? District Swabi
Rahim Yar Khan
"Block 5-D1, Lahore"
District Karachi Malir
"Yazman, District Bahawalpur"
"Ten Four, Islamabad"
Jund? District Attock
"Sadar, District Multan"
wala zila Pakkpattan
"Urdu Bazar, Rawalpindi"
"City, District Faisalabad"
"Taxila, District Rawalpindi"
"Doga, Tehsil/District Muzaffarabad"
"Maiyar, Tehsil/District Mardan"
"Alamgir, District Gujarat"
Tehsil/ District Ghotki
"Colony, Karachi East"
"Shah, District Dadu"
"Shahpur, District Sargodha"
"Daga, Tehsil/District Dadu"
"Cantt, District Lahore"
Rahim Yar Khan
"Jangshahi, Tehsil/District Thatta"
"XI Four, Islamabad"
Near Telephone Exchange?Sukhar
Chunian? District Kasur
District Shahid Benazirabad
"Pabi, District Nowshera"
"Sakro, District Thatta"
"Mehmoodabad, Karachi South"
"Sector 2, Rawalpindi"
"Patuki, District Kasur"
"Firozwala, District Sheikhupura"
F2624?Mohalla Chuna Mandi?Lahore
"Tandojam, Tehsil/District Hyderabad"
"Lahore, District Lahore"
"Cantt, District Lahore"
"Kishan, District Kasur"
"Mahalla Islampura, Multan"
"Abha, Saudi Arabia"
Near Shaukat Khanum?Lahore
"Shami Shaheed, Qasor"
Muzaffargarh? District Muzaffargarh
"Jahangira, District Nowshera"
"Sandah Kalan, Lahore"
"Rukdin Khan, Kasur"
"Cantt., District Lahore"
"461JB, Tehsil/Zilla Jhang"
"Pindi Road, Kohat"
Tehsil/ District Rawalpindi
Raja Distt Chiniot
Road?Rawalpindi Cantt?Tehsil/Dist Rawalpindi
Tehsil/ District Rawalpindi
"Hazro, District Attock"
(Nasirabad)? District Muzaffarabad
"Chah Koraiwala, Layyah"
"Chunian, District Kasur"
"Cantt, District Lahore"
Kot Adu Muzafargarh
"Mohalla Saudabad, Multan"
Bazar?Lahore Cantt?District Lahore
"Cantt, District Lahore"
Tehsil/ District Jhang
"Chanu, District Khanewal"
Dera Ghazi Khan
"Okara, District Okara"
Dera Ghazi Khan
"Mohalla Razabad, Multan"
Dera Ghazi Khan
Bannu? District Bannu
Gujrat? District Gujrat
"Sahib, District Pusheen"
Rahim Yar Khan
"Multan, District Multan"
"Melsi, Vehari District"
Khana Khas?Daniwar?Tehsil/District Gilgit
"Chinar Bagh, Gilgit"
"Khaplo, Ghanchhe District"
"Sadr, District Multan"
Bhai? District Mardan
"Block B, Peshawar"
"Larjum, District Apardir"
tasheel abdal Attock
"Chakwal, District Chakwal"
"Thal, District Jacobabad"
Mahalla Mohanpura? Rawalpindi
"Taxila, District Rawalpindi"
"Abbottabad, District Abbottabad"
Diji? District Khairpur
"Shikargarh, District Narowal"
"Watani, District Sahiwal"
Tehsil/ District Kohat
"Town, Ghaziabad, Rawalpindi"
Toba Tek Singh
District Karachi Malir
"Sadar, District Faisalabad"
"Yaal, District Sialkot"
/ District Nowshera
"Johi, District Dadu"
Road Pearl Street?Rawalpindi
Tehsil/ District Kasur
"Kamonki, District Gujranwala"
"Cantt., District Lahore"
"Klarkot, District Bhakkar"
"Johi, District Dadu"
Mohalla Sonara? Dadu
"Arifwala, District Pakpattan"
"Duniapur, District Lodhran"
"Cantt., District Lahore"
Garden Town?Block Ali?Lahore
"Mahari, Tehsil/District Khairpur"
"District Kachhari, Lahore"
Cantt Zila Lahore
"Office Khas, Lahore"
Chunian? District Kasur
"Johar Town, Lahore"
multan road lahore
Kasur? District Kasur
Dera Ghazi Khan
Road Upper Mall?Lahore
"Dharam Chand, Lahore"
"Dunyapur, District Lodhran"
"Yazman, District Bahawalpur"
"Muridke, District Sheikhupura"
"Dhok Chowdhury, Rawalpindi"
Rahim Yar Khan
"Arifwala, District Pakpattan"
"Cantt, District Lahore"
Dhok Rata? Rawalpindi
Block C? Rawalpindi
"Hamshiryan, Tehsil/District Mansehra"
Chah Shahana Chakwal
"F 8/2, Islamabad"
Sahiwal? District Sahiwal
""
Tehsil/District Lucky Marwat
Addu? District Muzaffargarh
Tehsil/ District Jhang
Rahim Yar Khan
Market?Mohalla Basti Circle?Multan
East? District Bahawalpur
Rahim Yar Khan
"Duniapur, District Lodhran"
"Hasilpur, District Bahawalpur"
Tehsil/ District Muzaffargarh
"Vihari, District Vihari"
"Sattian, District Rawalpindi"
"Sheikhupora, District Sheikhupora"
Gujranwala? District Gujranwala
"Diska, District Sialkot"
Colony Raimond Road?Lahore
Sadar? District Multan
Sadar? District Multan
Toba Tek Singh
"Bahawalpur, District Bahawalpur"
"Silanwali, District Sargodha"
"Paplan, District Mianwali"
Garhi Yasin?District Shikarpur
"Mardan, Khyber-Pakhtunkhwa, Pakistan"
"Lakar Mandi, Okara"
Chinnu? District Khanewal
"Toghi Road, Quetta"
Colony?Kohat Cantt?Tehsil/District Kohat
/ District Nowshera
"Peshawar, District Peshawar"
Pubi? District Nowshera
Lahore? District Swabi
No 3?Block X?Sahiwal
Dera Ismail Khan
"Sain Soheli, Haripur"
Tehsil/ District Sargodha
"Dunyapur, District Lodhran"
"Jahanian, District Khaniwal"
"Dunyapur, District Lodhran"
"Multan Road, Lahore"
Valencia Town? Lahore
"Block 3, Lahore"
Tehsil/ District Rawalpindi
"Sector 4-B, Rawalpindi"
", Saudi Arabia"
Housing Colony?Clurkot?District Bhakkar
District Karachi Malir
Cantt. District Lahore
"Kot lakhpat ,LAHORE"
st 30 Lahore
"Pattoki, District Kasur"
"Melsi, District Wahari"
Chinnu? District Khanewal
"Cantt, District Lahore"
Melsi? District Wahari
Dunyapur District Lodhran
Basti Odan Wali?Jhang
"13-D/2, Karachi East"
Rahim Yar Khan
"Road, Karachi South"
Bilal Masjid?Karachi South
Rahim Yar Khan
"Colony, Karachi East"
"Iqbal, Karachi East"
Rahim Yar Khan
"Johi, District Dadu"
"Jardanwala, District Faisalabad"
"Taba Kamangran, Chiniot"
"Tipali Street, Khairpur"
Sukkur? District Sukkur
Dera Ghazi Khan
Sadar? District Faisalabad
Town Liaquatabad? Lahore
Sheikhupura? District Sheikhupura
Town Sabzazar? Lahore
Road?Block Al Sadiq?Lahore
"Cantt, District Lahore"
"Chowk Sadiqabad, Rawalpindi"
"Gulshan Ravi, Lahore"
"Patuki, District Kasur"
"Green Town, Lahore"
"Sheikhupura, District Sheikhupura"
"Khushab, District Khushab"
City? District Faisalabad
"Chishtian, District Bahawalnagar"
"Chishtian, District Bahawalnagar"
"Cantt, District Lahore"
"Cantt., District Lahore"
"Iqra City, Quetta"
"Chota Sawa, Lahore"
"Cantt, District Lahore"
"Cantt, District Lahore"
"Kasur, District Kasur"
"Colony, Karachi East"
"Pakpattan, District Pakpattan"
"Ten One, Islamabad"
Astoor? District Astoor
Syedan? District Rawalpindi
Tehsil/ District Peshawar
"Sargodha, District Sargodha"
"Sadr, District Multan"
"Range Road, Rawalpindi"
District Nankana Sahib
"Sarandi, District Faisalabad"
abad Multan CIty
"RODANWALA, TEHSIL/DISTRICT MUZAFFARGARH"
"Cantt, District Lahore"
Dera Ghazi Khan
Tehsil/ District Rajanpur
"Topi, District Swabi"
"Chah Chamni, Bhakkar"
"Sadar, District Faisalabad"
Jhang? District Jhang
"Daska, District Sialkot"
"Yazman, District Bahawalpur"
Arifwala? District Pakpattan
Toba Tek Singh
"Saryab Road, Quetta"
"11, Karachi East"
"Firozwala, District Sheikhupora"
Nazimabad?Block L?Karachi Central
"Sahiwal, District Sahiwal"
Rahim Yar Khan
"Jhang, District Jhang"
"Sang, Tehsil/District Peshawar"
Vehari? District Vehari
Tehsil/ District Charsadda
Watani? District Sahiwal
Shah? District Karak
House number 444?
"Johi, District Dadu"
Chaudhry Colony? Jhang
Tehsil/ District Ghotki
Tehsil/ District Rawalpindi
"Cantt., Tehsil/District Rawalpindi"
"Dipalpur, District Okara"
Tehsil/ District Charsadda
"Cantt, District Lahore"
"Makkah, Saudi Arabia"
Perwala District Multan
"Dipalpur, District Okara"
Toba Tek Singh
"Kohat, District Kohat"
Rahim Yar Khan
Society?Sector 16-A?Karachi East
"Mohalla Bagh, Badin"
Town?Sector C-3?Karachi West
"Nara, District Khairpur"
Johar?Block 15?Karachi East
"Town, Karachi East"
"Mahalla Fatehgarh, Sialkot"
"Johi, District Dadu"
House number 29?
"Abbas, District Bahawalnagar"
"Mohalla Eidgah, Pakpattan"
Tehsil/ District Khairpur
"Colony Purodhai, Rawalpindi"
"Amar Sidhu, Lahore"
"Warkan, District Gujranwala"
"City, District Faisalabad"
No. 7? Muzaffarabad
"Taxila, District Rawalpindi"
"Dunyapur, District Lodhran"
"Dunyapur, District Lodhran"
Abdal? District Attock
Tehsil/ District Charsadda
"Muzaffarabad, District Muzaffarabad"
"Manga Mandi, Lahore"
"Dipalpur, District Okara"
Rahim Yar Khan
Tehsil/ District Khairpur
"Arifwala, District Pakpattan"
Dera Ghazi Khan
"Cantt, District Lahore"
"Block 15, Sargodha"
"Sheikhupora, District Sheikhupora"
Dera Ghazi Khan
"Cantt, Lahore District"
"Udo, District Muzaffargarh"
Jaranwala? District Faisalabad
Toba Tek Singh
Sector F-11/4? Islamabad
"Nusrati, District Karak"
"Haroonabad, District Bahawalnagar"
"Muzaffargarh, District Muzaffargarh"
"Raiwind Road, Lahore"
"Faisal Town, Lahore"
"Lalian, Chiniot District"
Sial? District Jhang
District Lower Dir
"16, Karachi Central"
"Nara, District Khairpur"
"Cantt., District Lahore"
"Duniapur, District Lodhran"
"Marine, District Faisalabad"
"Marine, District Faisalabad"
"Marin, District Faisalabad"
Tehsil/ District Nowshera
"Post Office, Islamabad"
"Dunyapur, District Lodhran"
"Chara Road, Rawalpindi"
District Nowshro Feroze.
Daharki? District Ghotki
"City, District Lahore"
Iqbal?Block 6?Karachi East
"Parwala, District Multan"
"Mohalla Gulshan-e-Faiz, Multan"
Dunyapur? District Lodhran
"Dunyapur, District Lodhran"
Dera Ghazi Khan
Allama Iqbal Town?Lahore
Chowk? Nankana Sahib
"Yazman, District Bahawalpur"
"Sadar, District Multan"
A-11?Academy Lane?Mohalla Danishabad?Peshawar
DAUG BOSTANABAD NO.3?PESHAWAR
Hasilpur? District Bahawalpur
Habib Colony? Bahawalpur
"Sector E-9, Islamabad"
"Pakka, District Lodhran"
"13-D, Karachi East"
"Sadr, District Multan"
